f1_score,accuracy,mean-precision,mean-recall,train-loss,test-loss,epoch
1.0,1.0,1.0,1.0,3.314038542403344,2.7147674888617335,1
1.0,1.0,1.0,1.0,2.22226730459069,2.2714200717863733,2
1.0,1.0,1.0,1.0,2.0842615142702723,2.154837490766433,3
1.0,1.0,1.0,1.0,2.0375216818088697,2.045297065962118,4
1.0,1.0,1.0,1.0,1.9494323620288518,1.9266540781002393,5
1.0,1.0,1.0,1.0,1.8627595070110998,1.8319419347411907,6
1.0,1.0,1.0,1.0,1.8014421439930337,1.7530341637518994,7
1.0,1.0,1.0,1.0,1.732813998925969,1.6710621681781623,8
1.0,1.0,1.0,1.0,1.6517777526961919,1.6013285915061888,9
1.0,1.0,1.0,1.0,1.5802106116340693,1.5468792084940608,10
1.0,1.0,1.0,1.0,1.5176831312635133,1.4905918639177704,11
1.0,1.0,1.0,1.0,1.454444895107865,1.426167384666555,12
1.0,1.0,1.0,1.0,1.3919810953241978,1.3590631089534417,13
1.0,1.0,1.0,1.0,1.3336930744055142,1.2924798193105755,14
1.0,1.0,1.0,1.0,1.2772286396680135,1.2263100768720618,15
1.0,1.0,1.0,1.0,1.219065197932386,1.1614467003757474,16
1.0,1.0,1.0,1.0,1.1586454316596035,1.098905206505891,17
1.0,1.0,1.0,1.0,1.0978135045019575,1.0387981566748856,18
1.0,1.0,1.0,1.0,1.0391603479445422,0.9814975316854534,19
1.0,1.0,1.0,1.0,0.984741518064185,0.9279524029688407,20
1.0,1.0,1.0,1.0,0.9350359506320565,0.8787982242182069,21
1.0,1.0,1.0,1.0,0.8892233895776117,0.8340699027158951,22
1.0,1.0,1.0,1.0,0.846493265322643,0.7934139025876328,23
1.0,1.0,1.0,1.0,0.8066565947176484,0.7562918546089622,24
1.0,1.0,1.0,1.0,0.7698382152642337,0.7222177627606765,25
1.0,1.0,1.0,1.0,0.736039168787733,0.690823013448931,26
1.0,1.0,1.0,1.0,0.7049109744632093,0.6616247796878336,27
1.0,1.0,1.0,1.0,0.6756890445876192,0.6333539462509241,28
1.0,1.0,1.0,1.0,0.6468748694528461,0.6010869564469599,29
1.0,1.0,1.0,1.0,0.618727627116874,0.5621211576559367,30
1.0,1.0,1.0,1.0,0.598721372725081,0.5359159918163869,31
1.0,1.0,1.0,1.0,0.5636396587219701,0.4975429383397989,32
1.0,1.0,1.0,1.0,0.5327819757749158,0.46120464223199714,33
1.0,1.0,1.0,1.0,0.5057703048003103,0.43050430909626564,34
1.0,1.0,1.0,1.0,0.4745664071385855,0.4002744572559324,35
1.0,1.0,1.0,1.0,0.44554176363996134,0.37174060916299745,36
1.0,1.0,1.0,1.0,0.4213499484072174,0.3468509484551367,37
1.0,1.0,1.0,1.0,0.3983822677460879,0.3238785290858723,38
1.0,1.0,1.0,1.0,0.37660936357252395,0.30215310168875736,39
1.0,1.0,1.0,1.0,0.35785773075348704,0.282857157849412,40
1.0,1.0,1.0,1.0,0.341169802832088,0.2658610194999182,41
1.0,1.0,1.0,1.0,0.325241828982631,0.25037709552541537,42
1.0,1.0,1.0,1.0,0.3105211514372514,0.2362822865721298,43
1.0,1.0,1.0,1.0,0.29722050480479145,0.2235707115281534,44
1.0,1.0,1.0,1.0,0.2847283504345745,0.21194074841790414,45
1.0,1.0,1.0,1.0,0.27288206626258227,0.2012138237560258,46
1.0,1.0,1.0,1.0,0.26188613032811126,0.191391019045474,47
1.0,1.0,1.0,1.0,0.25160381743994475,0.18237494530414186,48
1.0,1.0,1.0,1.0,0.2418142175990842,0.17401479114764032,49
1.0,1.0,1.0,1.0,0.23254644477008585,0.1662439161894954,50
1.0,1.0,1.0,1.0,0.22382778584193663,0.15902677708785073,51
1.0,1.0,1.0,1.0,0.21555977164183676,0.15230413266398893,52
1.0,1.0,1.0,1.0,0.20769323459555666,0.14602738503964263,53
1.0,1.0,1.0,1.0,0.20024231694657657,0.14016559813036825,54
1.0,1.0,1.0,1.0,0.19317976931077685,0.13468253599058058,55
1.0,1.0,1.0,1.0,0.18646178586623688,0.1295411620528651,56
1.0,1.0,1.0,1.0,0.1800788218717109,0.1247144298124026,57
1.0,1.0,1.0,1.0,0.1740235064541244,0.12018006378732154,58
1.0,1.0,1.0,1.0,0.16827061628772869,0.11591617966763386,59
1.0,1.0,1.0,1.0,0.16280074426628133,0.11190303648805083,60
1.0,1.0,1.0,1.0,0.15760376508996563,0.10812286492757767,61
1.0,1.0,1.0,1.0,0.15266465606082574,0.10455884619807906,62
1.0,1.0,1.0,1.0,0.1479662016774075,0.10119561360913612,63
1.0,1.0,1.0,1.0,0.14349592459144733,0.0980193078048181,64
1.0,1.0,1.0,1.0,0.13924224747761524,0.09501709150567489,65
1.0,1.0,1.0,1.0,0.1351917593737507,0.09217708128044033,66
1.0,1.0,1.0,1.0,0.1313321554081926,0.08948822936443665,67
1.0,1.0,1.0,1.0,0.12765288859948293,0.08694012268756607,68
1.0,1.0,1.0,1.0,0.12414340131934816,0.08452309147619513,69
1.0,1.0,1.0,1.0,0.12079328612008708,0.08222827264410038,70
1.0,1.0,1.0,1.0,0.11759317699840133,0.08004743327822525,71
1.0,1.0,1.0,1.0,0.11453437411375263,0.07797289656567942,72
1.0,1.0,1.0,1.0,0.11160842698959458,0.07599758227242528,73
1.0,1.0,1.0,1.0,0.10880742189848025,0.07411494207688289,74
1.0,1.0,1.0,1.0,0.10612410450934848,0.07231887403354802,75
1.0,1.0,1.0,1.0,0.1035516555212616,0.07060372953706653,76
1.0,1.0,1.0,1.0,0.10108363475816004,0.06896430942685716,77
1.0,1.0,1.0,1.0,0.09871406897031718,0.06739580107518649,78
1.0,1.0,1.0,1.0,0.09643741452880664,0.0658937372521021,79
1.0,1.0,1.0,1.0,0.09424847238023999,0.06445398861862309,80
1.0,1.0,1.0,1.0,0.09214238339964242,0.06307273904621782,81
1.0,1.0,1.0,1.0,0.0901146341190795,0.06174644967049557,82
1.0,1.0,1.0,1.0,0.08816101774995475,0.06047184029874505,83
1.0,1.0,1.0,1.0,0.08627759962076759,0.05924587660853134,84
1.0,1.0,1.0,1.0,0.08446070790136659,0.05806574763699614,85
1.0,1.0,1.0,1.0,0.0827069195503791,0.05692884383524996,86
1.0,1.0,1.0,1.0,0.08101303560972492,0.05583274327607336,87
1.0,1.0,1.0,1.0,0.07937606304954303,0.054775198610563895,88
1.0,1.0,1.0,1.0,0.07779320341201777,0.05375412147218447,89
1.0,1.0,1.0,1.0,0.07626183874285382,0.05276756899466969,90
1.0,1.0,1.0,1.0,0.07477951599092722,0.05181373336672432,91
1.0,1.0,1.0,1.0,0.07334393483749024,0.05089093136013548,92
1.0,1.0,1.0,1.0,0.07195293760115158,0.04999759363759621,93
1.0,1.0,1.0,1.0,0.0706044985900443,0.0491322555964249,94
1.0,1.0,1.0,1.0,0.06929671382924317,0.04829354956205078,95
1.0,1.0,1.0,1.0,0.06802779238169569,0.04748019722634897,96
1.0,1.0,1.0,1.0,0.06679604852925373,0.046691002442546835,97
1.0,1.0,1.0,1.0,0.06559989412515099,0.045924844895086255,98
1.0,1.0,1.0,1.0,0.06443783149546455,0.045180674437482554,99
1.0,1.0,1.0,1.0,0.06330844715929808,0.044457505738369305,100
1.0,1.0,1.0,1.0,0.062210406067289926,0.04375441331465694,101
1.0,1.0,1.0,1.0,0.061142446158164464,0.04307052708949632,102
1.0,1.0,1.0,1.0,0.060103373342122124,0.04240502835918438,103
1.0,1.0,1.0,1.0,0.059092056954225425,0.04175714603706582,104
1.0,1.0,1.0,1.0,0.058107425560836846,0.041126153192542786,105
1.0,1.0,1.0,1.0,0.05714846304922651,0.040511363911301904,106
1.0,1.0,1.0,1.0,0.05621420502063683,0.0399121304222607,107
1.0,1.0,1.0,1.0,0.05530373548268441,0.039327840438871664,108
1.0,1.0,1.0,1.0,0.05441618379134755,0.03875791471167872,109
1.0,1.0,1.0,1.0,0.053550721809800805,0.03820180478992869,110
1.0,1.0,1.0,1.0,0.052706561279329114,0.037658990964624994,111
1.0,1.0,1.0,1.0,0.051882951391174006,0.03712898036740078,112
1.0,1.0,1.0,1.0,0.05107917653536932,0.03661130521647281,113
1.0,1.0,1.0,1.0,0.0502945542082613,0.0361055212023497,114
1.0,1.0,1.0,1.0,0.04952843306964963,0.03561120599850736,115
1.0,1.0,1.0,1.0,0.04878019113954751,0.03512795788305572,116
1.0,1.0,1.0,1.0,0.048049234121157886,0.03465539446327435,117
1.0,1.0,1.0,1.0,0.047334993838607384,0.0341931514961086,118
1.0,1.0,1.0,1.0,0.04663692678137844,0.03374088179577264,119
1.0,1.0,1.0,1.0,0.045954512747807735,0.03329825422000312,120
1.0,1.0,1.0,1.0,0.04528725357934934,0.03286495272872106,121
1.0,1.0,1.0,1.0,0.044634671978085315,0.03244067550976912,122
1.0,1.0,1.0,1.0,0.04399631040135222,0.03202513416609904,123
1.0,1.0,1.0,1.0,0.043371730027900755,0.0316180529590361,124
1.0,1.0,1.0,1.0,0.04276050979007125,0.031219168103148693,125
1.0,1.0,1.0,1.0,0.042162245466886246,0.030828227108829136,126
1.0,1.0,1.0,1.0,0.04157654883360941,0.030444988168820335,127
1.0,1.0,1.0,1.0,0.041003046863743176,0.03006921958512945,128
1.0,1.0,1.0,1.0,0.040441380979655106,0.029700699233194114,129
1.0,1.0,1.0,1.0,0.03989120634829303,0.029339214060521313,130
1.0,1.0,1.0,1.0,0.03935219121879551,0.028984559617209686,131
1.0,1.0,1.0,1.0,0.038824016299094086,0.0286365396159339,132
1.0,1.0,1.0,1.0,0.03830637416880502,0.028294965519196198,133
1.0,1.0,1.0,1.0,0.037798968725903256,0.027959656151869336,134
1.0,1.0,1.0,1.0,0.03730151466487887,0.02763043733721179,135
1.0,1.0,1.0,1.0,0.036813736984270914,0.02730714155466689,136
1.0,1.0,1.0,1.0,0.03633537052162962,0.02698960761789819,137
1.0,1.0,1.0,1.0,0.0358661595140972,0.02667768037164851,138
1.0,1.0,1.0,1.0,0.03540585718293783,0.02637121040612829,139
1.0,1.0,1.0,1.0,0.03495422534047459,0.026070053787730217,140
1.0,1.0,1.0,1.0,0.03451103401800774,0.025774071804967724,141
1.0,1.0,1.0,1.0,0.03407606111338808,0.025483130728616948,142
1.0,1.0,1.0,1.0,0.033649092057017375,0.025197101585126544,143
1.0,1.0,1.0,1.0,0.03322991949513481,0.024915859942428818,144
1.0,1.0,1.0,1.0,0.03281834298933288,0.024639285707348746,145
1.0,1.0,1.0,1.0,0.032414168731317236,0.02436726293387059,146
1.0,1.0,1.0,1.0,0.03201720927199532,0.024099679641575198,147
1.0,1.0,1.0,1.0,0.03162728326404106,0.023836427643613066,148
1.0,1.0,1.0,1.0,0.031244215217141064,0.02357740238362221,149
1.0,1.0,1.0,1.0,0.030867835265182796,0.02332250278104441,150
1.0,1.0,1.0,1.0,0.030497978944693194,0.0230716310843304,151
1.0,1.0,1.0,1.0,0.030134486983882457,0.022824692731561555,152
1.0,1.0,1.0,1.0,0.029777205101691018,0.022581596218048627,153
1.0,1.0,1.0,1.0,0.02942598381627536,0.022342252970497904,154
1.0,1.0,1.0,1.0,0.029080678262405957,0.022106577227362013,155
1.0,1.0,1.0,1.0,0.02874114801728366,0.021874485925021,156
1.0,1.0,1.0,1.0,0.028407256934311897,0.021645898589461036,157
1.0,1.0,1.0,1.0,0.02807887298439122,0.02142073723313976,158
1.0,1.0,1.0,1.0,0.027755868104329933,0.021198926256749226,159
1.0,1.0,1.0,1.0,0.02743811805198825,0.020980392355604692,160
1.0,1.0,1.0,1.0,0.027125502267798786,0.020765064430406037,161
1.0,1.0,1.0,1.0,0.026817903742324976,0.020552873502132613,162
1.0,1.0,1.0,1.0,0.02651520888954225,0.02034375263085013,163
1.0,1.0,1.0,1.0,0.026217307425542624,0.020137636838219716,164
1.0,1.0,1.0,1.0,0.02592409225238273,0.01993446303351256,165
1.0,1.0,1.0,1.0,0.02563545934681132,0.01973416994294637,166
1.0,1.0,1.0,1.0,0.025351307653626358,0.019536698042169495,167
1.0,1.0,1.0,1.0,0.02507153898342762,0.019341989491730438,168
1.0,1.0,1.0,1.0,0.02479605791454258,0.019149988075378373,169
1.0,1.0,1.0,1.0,0.024524771698917168,0.0189606391410507,170
1.0,1.0,1.0,1.0,0.024257590171772654,0.018773889544410158,171
1.0,1.0,1.0,1.0,0.023994425664843395,0.01858968759480427,172
1.0,1.0,1.0,1.0,0.023735192923017463,0.018407983003524454,173
1.0,1.0,1.0,1.0,0.023479809024213955,0.018228726834249958,174
1.0,1.0,1.0,1.0,0.023228193302338808,0.01805187145556861,175
1.0,1.0,1.0,1.0,0.022980267273168743,0.017877370495471355,176
1.0,1.0,1.0,1.0,0.022735954563021892,0.0177051787977225,177
1.0,1.0,1.0,1.0,0.02249518084008033,0.017535252380014472,178
1.0,1.0,1.0,1.0,0.022257873748236585,0.0173675483938184,179
1.0,1.0,1.0,1.0,0.02202396284334259,0.01720202508584804,180
1.0,1.0,1.0,1.0,0.021793379531746156,0.017038641761056884,181
1.0,1.0,1.0,1.0,0.02156605701100447,0.016877358747094576,182
1.0,1.0,1.0,1.0,0.021341930212670918,0.016718137360149155,183
1.0,1.0,1.0,1.0,0.021120935747054474,0.016560939872107307,184
1.0,1.0,1.0,1.0,0.0209030118498576,0.01640572947896738,185
1.0,1.0,1.0,1.0,0.020688098330600875,0.01625247027044195,186
1.0,1.0,1.0,1.0,0.02047613652274769,0.016101127200689652,187
1.0,1.0,1.0,1.0,0.020267069235445342,0.015951666060119028,188
1.0,1.0,1.0,1.0,0.020060840706802353,0.01580405344820827,189
1.0,1.0,1.0,1.0,0.019857396558624955,0.015658256747287325,190
1.0,1.0,1.0,1.0,0.01965668375253765,0.015514244097230536,191
1.0,1.0,1.0,1.0,0.019458650547416266,0.015371984371009478,192
1.0,1.0,1.0,1.0,0.019263246458062815,0.015231447151056315,193
1.0,1.0,1.0,1.0,0.01907042221505415,0.015092602706391048,194
1.0,1.0,1.0,1.0,0.018880129725697307,0.014955421970464157,195
1.0,1.0,1.0,1.0,0.01869232203602581,0.014819876519669694,196
1.0,1.0,1.0,1.0,0.01850695329377181,0.014685938552482089,197
1.0,1.0,1.0,1.0,0.018323978712249486,0.014553580869171821,198
1.0,1.0,1.0,1.0,0.018143354535085282,0.0144227768520537,199
1.0,1.0,1.0,1.0,0.017965038001729498,0.014293500446222197,200
1.0,1.0,1.0,1.0,0.01778898731368422,0.014165726140727272,201
1.0,1.0,1.0,1.0,0.01761516160137952,0.014039428950142867,202
1.0,1.0,1.0,1.0,0.017443520891629708,0.01391458439647935,203
1.0,1.0,1.0,1.0,0.017274026075597824,0.013791168491389028,204
1.0,1.0,1.0,1.0,0.017106638877193582,0.013669157718611451,205
1.0,1.0,1.0,1.0,0.016941321821826973,0.013548529016603271,206
1.0,1.0,1.0,1.0,0.016778038205433728,0.013429259761292174,207
1.0,1.0,1.0,1.0,0.016616752063684542,0.013311327748892663,208
1.0,1.0,1.0,1.0,0.016457428141282104,0.013194711178713375,209
1.0,1.0,1.0,1.0,0.01630003186124327,0.01307938863588302,210
1.0,1.0,1.0,1.0,0.016144529294053384,0.012965339073911725,211
1.0,1.0,1.0,1.0,0.01599088712657005,0.01285254179699852,212
1.0,1.0,1.0,1.0,0.015839072630539762,0.012740976441984665,213
1.0,1.0,1.0,1.0,0.015689053630577664,0.01263062295984089,214
1.0,1.0,1.0,1.0,0.015540798471442286,0.012521461596563564,215
1.0,1.0,1.0,1.0,0.015394275984418643,0.012413472873337586,216
1.0,1.0,1.0,1.0,0.01524945545259864,0.01230663756580607,217
1.0,1.0,1.0,1.0,0.015106306574823305,0.012200936682263437,218
1.0,1.0,1.0,1.0,0.014964799428018117,0.012096351440562928,219
1.0,1.0,1.0,1.0,0.014824904427619755,0.011992863243498375,220
1.0,1.0,1.0,1.0,0.014686592285748932,0.011890453652383346,221
1.0,1.0,1.0,1.0,0.014549833966738132,0.011789104358507413,222
1.0,1.0,1.0,1.0,0.014414600639567083,0.011688797152099388,223
1.0,1.0,1.0,1.0,0.014280863626694743,0.011589513888365774,224
1.0,1.0,1.0,1.0,0.014148594348704047,0.01149123645010107,225
1.0,1.0,1.0,1.0,0.014017764264089128,0.011393946706284184,226
1.0,1.0,1.0,1.0,0.013888344803418707,0.011297626465971579,227
1.0,1.0,1.0,1.0,0.013760307296995542,0.011202257426681331,228
1.0,1.0,1.0,1.0,0.013633622895004888,0.011107821116318964,229
1.0,1.0,1.0,1.0,0.013508262478997715,0.011014298827529967,230
1.0,1.0,1.0,1.0,0.01338419656339013,0.010921671543162793,231
1.0,1.0,1.0,1.0,0.013261395185475196,0.01082991985129306,232
1.0,1.0,1.0,1.0,0.013139827782239053,0.01073902384797878,233
1.0,1.0,1.0,1.0,0.013019463052050298,0.010648963025588818,234
1.0,1.0,1.0,1.0,0.012900268799056444,0.010559716144163029,235
1.0,1.0,1.0,1.0,0.012782211757880375,0.010471261082812393,236
1.0,1.0,1.0,1.0,0.012665257395980142,0.010383574667648134,237
1.0,1.0,1.0,1.0,0.012549369690840376,0.010296632472140533,238
1.0,1.0,1.0,1.0,0.012434510879042206,0.010210408585143228,239
1.0,1.0,1.0,1.0,0.012320641174273301,0.010124875341099357,240
1.0,1.0,1.0,1.0,0.012207718451577185,0.01004000300619104,241
1.0,1.0,1.0,1.0,0.012095697895740175,0.009955759413465333,242
1.0,1.0,1.0,1.0,0.011984531612871335,0.009872109539350004,243
1.0,1.0,1.0,1.0,0.01187416820623159,0.009789015013633981,244
1.0,1.0,1.0,1.0,0.011764552320618477,0.00970643355517442,245
1.0,1.0,1.0,1.0,0.011655624164682639,0.009624318326709215,246
1.0,1.0,1.0,1.0,0.011547319028211931,0.009542617204809506,247
1.0,1.0,1.0,1.0,0.011439566822697372,0.009461271966096804,248
1.0,1.0,1.0,1.0,0.01133229168968331,0.009380217399676254,249
1.0,1.0,1.0,1.0,0.011225411744027202,0.009299380370087252,250
1.0,1.0,1.0,1.0,0.01111883904980765,0.009218678877288585,251
1.0,1.0,1.0,1.0,0.011012479966344187,0.009138021193129562,252
1.0,1.0,1.0,1.0,0.010906236050310937,0.009057305200342945,253
1.0,1.0,1.0,1.0,0.010800005753594058,0.008976418122443345,254
1.0,1.0,1.0,1.0,0.010693687205231043,0.008895236910205785,255
1.0,1.0,1.0,1.0,0.010587182388019933,0.008813629635302531,256
1.0,1.0,1.0,1.0,0.010480402977349002,0.008731458314758727,257
1.0,1.0,1.0,1.0,0.01037327794010538,0.008648583612782689,258
1.0,1.0,1.0,1.0,0.010265762613509078,0.00856487177709048,259
1.0,1.0,1.0,1.0,0.010157848317831442,0.008480203883996397,260
1.0,1.0,1.0,1.0,0.010049570587539209,0.008394486917721291,261
1.0,1.0,1.0,1.0,0.009941012996143046,0.008307665392927772,262
1.0,1.0,1.0,1.0,0.009832302788889455,0.008219731305292551,263
1.0,1.0,1.0,1.0,0.009723594991974283,0.008130729549304525,264
1.0,1.0,1.0,1.0,0.00961504431071775,0.008040756117759642,265
1.0,1.0,1.0,1.0,0.00950676922489594,0.00794994779580925,266
1.0,1.0,1.0,1.0,0.009398818671829293,0.00785846452289672,267
1.0,1.0,1.0,1.0,0.009291154878782654,0.007766468221097399,268
1.0,1.0,1.0,1.0,0.009183662359990297,0.0076741034785955614,269
1.0,1.0,1.0,1.0,0.009076182526700532,0.007581485336030381,270
1.0,1.0,1.0,1.0,0.008968561243564576,0.007488697714311304,271
1.0,1.0,1.0,1.0,0.008860691034002702,0.007395803308833582,272
1.0,1.0,1.0,1.0,0.008752534212444915,0.007302862535298194,273
1.0,1.0,1.0,1.0,0.008644124006114393,0.007209956013861374,274
1.0,1.0,1.0,1.0,0.008535550025342276,0.007117203368915692,275
1.0,1.0,1.0,1.0,0.008426937623810488,0.0070247720165052836,276
1.0,1.0,1.0,1.0,0.008318428644073636,0.006932873074538541,277
1.0,1.0,1.0,1.0,0.00821016731571106,0.006841745986429421,278
1.0,1.0,1.0,1.0,0.0081022922052059,0.006751636867014639,279
1.0,1.0,1.0,1.0,0.007994933559486073,0.006662776778271257,280
1.0,1.0,1.0,1.0,0.00788821456313681,0.0065753651709319835,281
1.0,1.0,1.0,1.0,0.007782254540730558,0.0064895614009490765,282
1.0,1.0,1.0,1.0,0.007677172040819372,0.006405484526277105,283
1.0,1.0,1.0,1.0,0.007573086193870105,0.006323219334854314,284
1.0,1.0,1.0,1.0,0.007470115644388596,0.006242825309478169,285
1.0,1.0,1.0,1.0,0.007368375359320048,0.00616434521507604,286
1.0,1.0,1.0,1.0,0.007267972325805995,0.006087811008548857,287
1.0,1.0,1.0,1.0,0.0071690013707434025,0.006013246290716296,288
1.0,1.0,1.0,1.0,0.007071542096832709,0.005940665904903216,289
1.0,1.0,1.0,1.0,0.00697565742865707,0.005870074074697385,290
1.0,1.0,1.0,1.0,0.006881393734605157,0.005801462544799876,291
1.0,1.0,1.0,1.0,0.00678878211881787,0.005734809734273595,292
1.0,1.0,1.0,1.0,0.006697840338093629,0.005670081261259805,293
1.0,1.0,1.0,1.0,0.006608574862490989,0.005607231643685069,294
1.0,1.0,1.0,1.0,0.006520982773153812,0.005546206676076201,295
1.0,1.0,1.0,1.0,0.006435053377951183,0.005486945940458362,296
1.0,1.0,1.0,1.0,0.006350769559337293,0.005429385048595948,297
1.0,1.0,1.0,1.0,0.0062681089285222865,0.005373457421743839,298
1.0,1.0,1.0,1.0,0.006187044859017879,0.00531909559865997,299
1.0,1.0,1.0,1.0,0.006107547439927758,0.005266232172181979,300
