f1_score,accuracy,mean-precision,mean-recall,train-loss,test-loss,epoch
1.0,1.0,1.0,1.0,2.7999639606205546,2.2926114772380166,1
1.0,1.0,1.0,1.0,2.0117272316299584,1.8809063366707919,2
1.0,1.0,1.0,1.0,1.8746044205983032,1.9185286762350044,3
1.0,1.0,1.0,1.0,1.968508375305134,1.9246917293012042,4
1.0,1.0,1.0,1.0,1.9601485382844654,1.8518563962814683,5
1.0,1.0,1.0,1.0,1.8823937320045343,1.7821417618928468,6
1.0,1.0,1.0,1.0,1.8125405888722483,1.745352873856939,7
1.0,1.0,1.0,1.0,1.7497825232695507,1.6952865484716857,8
1.0,1.0,1.0,1.0,1.658269872611912,1.6127930186121446,9
1.0,1.0,1.0,1.0,1.5530271849741806,1.5283504566519504,10
1.0,1.0,1.0,1.0,1.465541402990926,1.4503242175053628,11
1.0,1.0,1.0,1.0,1.3864827874595376,1.367790515313549,12
1.0,1.0,1.0,1.0,1.293724166800325,1.282445117833133,13
1.0,1.0,1.0,1.0,1.1906576325403142,1.1995552023948857,14
1.0,1.0,1.0,1.0,1.0945384856436453,1.121213026356478,15
1.0,1.0,1.0,1.0,1.0117256853670389,1.0498333823482828,16
1.0,1.0,1.0,1.0,0.9378551451695307,0.9864740278054254,17
1.0,1.0,1.0,1.0,0.8696167958423213,0.9293821273945368,18
1.0,1.0,1.0,1.0,0.807753613311778,0.8772835329696164,19
1.0,1.0,1.0,1.0,0.7528843073225194,0.8298973352868559,20
1.0,1.0,1.0,1.0,0.7036634430251524,0.7867455927107487,21
1.0,1.0,1.0,1.0,0.6589589725150777,0.7468957078230092,22
1.0,1.0,1.0,1.0,0.618532451011611,0.7100036588630152,23
1.0,1.0,1.0,1.0,0.5820554880871903,0.6761461928692738,24
1.0,1.0,1.0,1.0,0.548807513591741,0.6449477180229608,25
1.0,1.0,1.0,1.0,0.5183279837678005,0.6157964318272275,26
1.0,1.0,1.0,1.0,0.49053826864883754,0.5885387346782976,27
1.0,1.0,1.0,1.0,0.465289823218243,0.5633224630190662,28
1.0,1.0,1.0,1.0,0.4422134576037345,0.540036703644835,29
1.0,1.0,1.0,1.0,0.4209785723650189,0.5183459629829531,30
1.0,1.0,1.0,1.0,0.4014298676504469,0.4980633248736557,31
1.0,1.0,1.0,1.0,0.38346134123014897,0.4791758352786827,32
1.0,1.0,1.0,1.0,0.366911325513826,0.46160988369690786,33
1.0,1.0,1.0,1.0,0.35160557658215097,0.44518737274301917,34
1.0,1.0,1.0,1.0,0.3374172608038431,0.429766942760418,35
1.0,1.0,1.0,1.0,0.3242527270471436,0.41529292129961326,36
1.0,1.0,1.0,1.0,0.31201708011854856,0.4017161320252028,37
1.0,1.0,1.0,1.0,0.3006149869627064,0.3889495410757382,38
1.0,1.0,1.0,1.0,0.2899671672050516,0.37690631439312144,39
1.0,1.0,1.0,1.0,0.2800102564280551,0.3655321357582431,40
1.0,1.0,1.0,1.0,0.27068569084388944,0.35478784438994615,41
1.0,1.0,1.0,1.0,0.26193621618295126,0.34462569430629575,42
1.0,1.0,1.0,1.0,0.25371040840084136,0.3349935894435459,43
1.0,1.0,1.0,1.0,0.24596487890444638,0.3258493629477498,44
1.0,1.0,1.0,1.0,0.23866154851476304,0.31716119843972945,45
1.0,1.0,1.0,1.0,0.23176499370890233,0.3088989470988771,46
1.0,1.0,1.0,1.0,0.22524254018015213,0.30103119471651557,47
